N,P,K,temperature,humidity,ph,rainfall,label
16.98,12.64,10.11,20.23,93.64,6.79,119.37,orange
14.95,17.56,48.94,17.93,88.68,6.55,68.17,pomegranate
17.0,61.82,30.25,19.67,15.44,5.8,114.96,kidneybeans
106.25,22.27,52.32,27.99,87.88,6.38,44.45,watermelon
17.31,44.8,19.14,31.66,79.62,6.39,58.36,mungbean
38.58,66.36,25.83,30.91,67.07,7.58,46.73,blackgram
99.17,48.32,32.52,29.65,82.58,6.79,232.7,rice
77.14,36.24,26.17,27.78,91.55,5.5,252.52,rice
112.17,38.53,7.94,26.98,78.95,6.4,67.6,cotton
97.9,49.52,10.59,25.89,76.26,6.48,91.99,cotton
6.54,54.76,17.76,23.14,52.05,5.44,214.95,pigeonpeas
37.66,26.37,10.06,24.6,83.82,8.01,98.2,orange
51.91,56.81,28.74,27.36,54.31,7.39,86.07,blackgram
15.16,69.98,24.3,25.93,51.45,7.3,39.3,lentil
115.71,90.63,49.84,18.14,76.79,5.75,80.43,banana
11.8,28.15,44.27,34.37,51.83,5.67,100.38,mango
76.34,49.64,29.52,18.09,67.78,6.65,79.05,maize
21.96,139.5,182.85,24.03,91.96,6.24,130.3,apple
7.53,12.3,18.93,15.3,90.89,5.61,77.38,pomegranate
22.98,28.66,45.43,31.73,46.77,5.8,97.35,mango
122.36,46.69,15.65,26.48,68.82,6.69,72.73,cotton
31.15,53.39,26.98,25.1,84.6,6.58,37.94,mungbean
20.15,53.28,33.57,34.59,49.25,6.31,155.26,pigeonpeas
38.4,71.71,82.13,16.74,14.4,6.98,96.14,chickpea
21.16,111.08,199.38,22.69,91.57,5.67,93.07,apple
106.38,45.8,24.63,27.32,60.45,7.32,164.41,coffee
29.6,66.4,4.26,22.53,46.51,5.95,148.3,pigeonpeas
78.33,44.9,30.5,25.54,91.31,6.5,164.16,jute
93.49,56.15,37.69,21.98,81.23,6.33,137.75,jute
66.28,38.12,50.28,21.34,88.09,6.56,155.69,jute
65.58,48.13,36.14,32.98,81.19,7.19,172.52,papaya
28.75,69.79,13.11,30.54,66.55,6.84,54.64,lentil
19.61,124.34,207.34,19.39,84.82,6.27,56.81,grapes
83.41,58.07,23.93,25.55,83.3,6.59,180.52,rice
11.4,6.25,11.98,20.11,84.15,7.39,137.9,orange
15.22,48.7,24.67,27.7,84.71,6.86,45.69,mungbean
12.43,25.18,32.81,30.18,54.68,5.91,131.65,mango
10.14,70.52,25.01,15.91,23.91,5.8,94.22,kidneybeans
21.41,133.85,203.33,25.68,83.19,5.52,55.92,grapes
10.56,59.35,17.22,32.36,84.61,5.96,56.92,mungbean
13.48,27.73,15.46,23.57,89.76,6.65,98.18,orange
9.31,60.88,21.06,25.18,46.25,5.75,147.57,pigeonpeas
118.09,72.63,36.28,30.54,83.66,6.5,116.01,banana
73.77,51.33,62.71,25.55,83.24,5.97,196.01,rice
30.0,72.79,19.69,25.33,31.79,5.26,207.34,pigeonpeas
40.34,19.78,51.17,21.93,92.49,6.26,110.9,pomegranate
92.87,46.13,20.6,24.29,48.27,6.26,188.68,coffee
78.41,18.12,52.38,30.66,100.0,5.85,24.58,muskmelon
27.26,75.48,23.9,26.8,63.87,7.74,78.27,blackgram
55.95,73.83,57.05,35.43,93.47,6.1,115.88,papaya
41.72,58.14,49.24,33.24,100.0,6.85,91.1,papaya
20.15,0.0,43.39,19.61,89.63,6.25,123.14,pomegranate
23.66,79.56,25.64,20.37,21.42,6.26,113.2,kidneybeans
45.46,65.06,75.64,18.67,15.56,7.15,76.12,chickpea
21.11,34.14,13.05,28.29,90.52,6.6,45.64,mungbean
21.05,43.58,16.19,25.52,81.56,6.16,47.24,mungbean
20.56,20.49,26.73,37.01,47.54,5.94,105.83,mango
21.83,46.42,24.83,28.19,53.11,6.33,161.03,pigeonpeas
110.49,4.14,47.2,27.62,94.36,5.31,26.33,muskmelon
21.33,3.04,23.21,29.56,35.0,5.34,55.38,mango
16.13,35.34,18.6,29.47,52.93,6.95,71.76,mothbeans
35.1,70.57,9.32,28.94,35.62,6.34,135.87,pigeonpeas
92.16,12.47,58.11,26.04,96.58,6.89,11.65,muskmelon
92.41,45.13,54.54,24.21,95.6,6.51,195.71,rice
13.23,41.24,29.62,15.58,93.67,5.57,102.29,pomegranate
94.76,29.93,43.41,27.05,89.29,6.37,20.34,muskmelon
13.82,73.3,27.2,28.8,57.47,5.21,200.02,pigeonpeas
29.4,151.16,185.69,16.23,90.77,5.29,112.92,apple
9.84,51.69,25.38,29.15,80.03,6.8,36.17,mungbean
88.66,42.97,43.71,23.19,82.43,6.12,276.71,rice
12.6,67.55,12.84,16.78,16.02,5.96,122.17,kidneybeans
14.06,124.94,188.67,21.33,97.38,5.9,129.19,apple
72.92,55.89,40.64,21.77,78.42,6.54,200.79,rice
21.55,27.6,31.06,29.09,49.54,6.25,97.28,mango
64.74,81.02,63.35,30.67,88.52,6.64,186.61,papaya
23.7,33.21,21.38,30.01,65.22,7.24,59.13,mothbeans
112.7,59.8,24.47,26.48,87.36,7.11,93.93,cotton
15.31,0.98,43.36,19.91,94.85,5.96,94.62,pomegranate
3.6,76.59,17.31,28.7,57.58,5.11,128.72,pigeonpeas
52.55,53.04,55.29,34.64,97.79,7.09,154.28,papaya
20.42,57.44,22.88,23.35,57.49,7.43,54.29,lentil
100.64,38.5,21.0,22.31,63.12,5.75,56.2,maize
50.73,61.35,71.61,15.87,6.17,8.12,63.45,chickpea
80.29,18.11,54.98,29.55,97.33,6.09,20.74,muskmelon
126.52,39.14,8.09,21.21,75.49,7.11,97.28,cotton
15.41,66.02,32.39,14.28,13.66,5.77,106.02,kidneybeans
31.49,59.19,85.89,24.01,17.97,6.82,86.67,chickpea
16.56,30.16,18.33,31.62,77.36,6.28,49.26,mungbean
85.12,6.19,31.13,27.38,57.13,6.59,161.61,coffee
90.1,38.45,42.15,22.23,60.46,7.53,160.38,coffee
16.91,16.08,11.51,20.23,92.96,6.94,108.11,orange
84.89,18.35,28.39,26.45,88.3,6.8,45.26,watermelon
14.28,9.11,10.49,21.32,95.25,6.82,144.37,orange
26.35,138.13,211.38,19.74,90.76,5.0,58.47,grapes
85.87,10.77,33.11,23.41,50.16,6.29,154.02,coffee
29.52,67.13,28.22,31.42,43.49,5.39,152.34,pigeonpeas
13.65,17.75,25.5,31.22,59.55,5.26,88.6,mango
18.56,137.79,184.23,19.45,83.81,5.8,136.23,apple
21.24,23.02,31.18,31.45,45.37,5.44,86.03,mango
10.29,39.48,57.51,20.87,91.29,6.15,115.65,pomegranate
97.34,13.35,41.33,26.53,64.34,7.32,129.37,coffee
14.66,67.92,18.5,18.05,31.03,5.5,163.73,pigeonpeas
121.4,36.74,29.88,21.15,53.49,7.44,184.64,coffee
10.59,154.14,186.52,23.03,81.84,6.77,50.13,grapes
76.32,31.55,26.2,30.06,85.42,7.03,79.68,cotton
15.86,6.46,25.08,16.99,85.39,6.02,117.36,pomegranate
41.32,62.1,55.43,30.42,91.64,6.64,128.21,papaya
15.24,144.36,202.85,20.32,90.75,6.56,107.3,apple
27.24,63.71,14.79,22.42,77.8,7.38,75.46,blackgram
16.71,64.11,19.7,20.08,59.96,5.82,163.29,pigeonpeas
79.23,24.9,42.24,22.66,89.96,5.75,31.72,watermelon
30.68,62.28,42.23,32.26,93.55,6.61,147.76,papaya
25.04,55.82,30.58,28.49,65.64,7.4,77.75,blackgram
24.01,155.06,186.01,26.39,90.32,5.87,82.89,grapes
8.17,60.12,8.51,26.08,70.73,6.21,58.34,lentil
80.32,51.82,36.9,25.97,81.35,6.25,253.81,rice
108.15,14.17,28.78,25.8,54.51,6.93,170.15,coffee
63.52,75.02,59.78,36.81,90.28,6.45,122.54,papaya
42.63,66.94,88.51,18.59,17.95,7.26,83.98,chickpea
86.62,34.74,37.16,21.23,46.27,6.8,194.79,coffee
62.67,23.02,25.92,18.5,90.56,6.79,151.88,jute
17.76,32.21,24.12,25.5,70.47,7.09,43.03,mothbeans
4.57,21.65,43.65,18.28,83.58,6.99,116.83,pomegranate
57.59,46.57,27.31,30.07,90.79,7.73,155.58,papaya
17.69,57.16,33.88,23.57,43.56,5.9,113.94,pigeonpeas
28.65,121.62,191.55,25.95,95.23,5.93,121.47,apple
32.58,60.34,18.79,17.78,18.74,5.78,89.83,kidneybeans
19.13,13.08,4.48,19.13,87.05,6.89,149.04,orange
17.04,31.52,14.28,29.56,55.57,6.88,38.06,mothbeans
88.56,56.36,49.54,26.95,80.42,6.58,199.09,rice
18.94,39.76,9.13,24.76,74.89,6.66,42.02,mungbean
78.32,19.9,42.03,28.22,86.13,6.74,66.93,watermelon
8.04,27.52,37.42,26.07,92.46,5.91,135.49,pomegranate
12.15,16.09,35.27,23.78,91.24,5.84,152.83,coconut
32.4,0.0,42.37,25.91,93.77,5.69,213.57,coconut
84.35,34.84,37.54,23.63,70.87,7.12,157.6,jute
13.64,11.17,57.98,23.21,85.32,6.84,111.01,pomegranate
26.49,53.52,26.55,22.61,15.39,5.33,125.35,kidneybeans
13.6,25.92,16.86,31.0,64.15,7.16,55.15,mothbeans
77.77,55.25,45.86,26.14,86.94,6.25,163.17,jute
26.95,73.87,13.89,18.11,24.42,5.62,126.46,kidneybeans
81.1,32.1,27.05,23.99,90.35,6.07,169.87,rice
14.74,58.02,14.77,22.84,59.92,6.98,48.6,lentil
53.92,57.99,49.02,35.43,100.0,6.8,158.38,papaya
8.84,17.65,45.99,16.17,94.05,6.06,97.34,pomegranate
19.12,18.69,8.13,20.56,89.04,6.99,62.34,orange
54.11,64.01,80.19,21.12,17.17,7.68,84.31,chickpea
84.97,52.07,18.67,29.2,77.12,6.33,168.62,jute
13.24,11.61,27.46,20.14,91.93,6.68,111.82,pomegranate
100.43,58.85,16.21,24.07,67.73,6.37,89.15,cotton
30.33,41.03,11.18,29.04,53.69,6.98,52.3,mothbeans
16.74,39.65,22.36,23.51,91.4,6.43,55.22,mungbean
28.48,135.13,200.66,23.19,82.41,6.19,74.01,grapes
6.52,46.91,19.71,28.44,82.39,7.93,61.6,mungbean
39.98,65.46,14.87,32.47,54.45,6.91,46.8,lentil
105.04,35.43,16.71,23.92,76.05,7.32,85.21,cotton
23.01,55.98,13.04,21.38,15.05,6.36,86.99,kidneybeans
5.5,17.49,0.0,30.59,40.86,5.82,62.5,mango
89.16,17.48,51.24,28.94,96.29,5.89,9.71,muskmelon
23.78,79.84,22.84,17.06,21.0,5.2,117.09,kidneybeans
16.6,12.42,11.1,22.11,88.39,6.13,90.14,orange
24.87,51.83,26.21,22.99,41.98,5.07,134.96,pigeonpeas
78.05,40.44,18.82,26.86,80.68,6.02,57.6,maize
82.47,58.32,38.32,25.3,79.53,7.02,158.31,jute
141.06,32.14,39.9,26.78,62.98,7.01,122.45,coffee
107.61,59.71,20.14,25.7,89.09,5.96,99.18,cotton
57.26,55.48,34.37,20.55,59.9,6.44,91.69,maize
20.1,53.03,17.88,28.11,74.59,6.89,44.13,lentil
10.96,71.23,25.04,15.59,25.48,5.45,110.06,kidneybeans
18.94,15.9,53.06,19.03,82.94,6.19,119.38,pomegranate
61.11,46.03,73.68,35.57,83.58,6.42,162.4,papaya
80.15,35.18,44.62,25.6,79.0,6.23,214.59,rice
9.76,66.89,28.06,21.98,49.48,6.27,150.37,pigeonpeas
88.24,22.51,47.65,32.77,94.51,6.21,24.92,muskmelon
8.84,37.92,17.9,23.21,81.3,6.96,62.27,mungbean
15.06,59.42,11.2,19.32,24.89,5.88,138.49,kidneybeans
57.82,41.83,19.88,25.32,63.96,5.81,108.93,maize
81.45,65.45,50.29,23.16,92.09,6.69,206.16,jute
9.98,68.64,27.1,16.74,7.98,5.78,113.73,kidneybeans
47.93,47.51,93.04,14.01,21.16,7.75,63.64,chickpea
126.92,40.85,34.05,28.64,80.2,7.51,106.75,cotton
21.56,34.8,21.65,32.39,56.59,7.28,47.16,mothbeans
9.34,143.08,205.55,17.13,95.82,6.27,114.49,apple
55.46,58.89,54.4,38.03,95.63,7.2,144.37,papaya
16.92,11.96,42.69,20.14,84.11,6.99,94.55,pomegranate
113.82,40.59,14.91,24.52,93.85,6.6,75.23,cotton
31.96,24.15,10.28,31.86,38.45,5.98,103.23,mango
24.8,138.29,197.01,26.04,78.45,5.15,63.64,grapes
30.77,25.25,43.6,30.43,56.8,4.91,143.38,mango
46.47,48.92,35.51,22.7,49.0,6.6,167.92,coffee
107.55,29.14,28.33,24.71,51.08,6.79,135.39,coffee
136.86,35.16,28.31,30.32,84.58,7.22,82.54,cotton
9.07,50.93,0.0,26.11,49.09,7.12,50.27,mothbeans
23.04,13.18,30.31,25.63,97.33,6.47,171.67,coconut
16.02,15.0,25.78,29.42,92.57,5.58,223.56,coconut
9.16,17.36,33.8,30.07,97.93,6.25,120.93,coconut
15.98,119.54,197.91,20.78,100.0,5.43,114.05,apple
19.62,25.46,12.53,25.34,78.0,6.88,136.14,orange
11.85,24.72,20.6,29.84,58.12,5.84,147.14,mango
3.64,21.21,40.56,33.36,57.31,5.41,127.32,mango
26.49,14.46,6.14,21.66,90.3,7.78,85.49,orange
105.95,83.7,41.54,28.82,76.22,5.96,128.94,banana
5.22,124.78,187.92,23.24,86.43,6.07,108.27,apple
25.37,137.34,214.93,22.83,89.4,5.74,89.93,grapes
44.16,52.83,30.91,27.18,72.28,7.73,74.39,blackgram
24.28,38.64,20.03,18.98,25.62,5.29,106.71,kidneybeans
26.25,132.16,190.13,17.23,84.16,6.07,60.73,grapes
112.53,72.9,15.45,22.69,74.75,7.41,74.41,cotton
7.95,45.34,15.3,19.1,61.6,7.1,36.09,lentil
66.32,83.95,69.19,25.94,78.87,6.12,88.82,banana
14.41,61.79,4.71,31.93,51.21,7.23,50.96,mothbeans
0.0,146.05,204.91,22.99,91.69,5.97,100.05,apple
71.83,48.38,42.96,23.82,87.25,6.25,181.54,jute
7.64,69.93,26.67,22.2,74.33,6.23,30.05,lentil
95.42,24.76,27.73,27.77,56.96,7.21,188.45,coffee
16.17,17.82,16.49,21.76,93.07,6.96,134.75,orange
15.49,50.06,30.04,22.51,54.85,6.83,45.68,lentil
45.18,59.71,13.05,28.97,66.1,8.27,65.42,blackgram
99.27,84.35,13.12,24.58,78.04,6.6,78.4,banana
31.36,59.0,5.07,21.02,17.58,6.02,65.6,kidneybeans
11.91,16.34,47.03,30.99,88.86,5.84,115.05,pomegranate
75.77,37.56,34.95,24.67,82.01,7.08,163.41,jute
22.72,60.04,58.61,30.5,87.82,5.95,181.75,papaya
28.08,64.56,31.03,21.99,64.56,6.53,45.07,lentil
10.14,26.77,36.18,28.57,95.77,5.97,211.52,coconut
21.41,59.53,17.83,23.02,27.7,5.18,121.59,kidneybeans
13.84,52.04,16.35,18.54,23.98,5.48,96.74,kidneybeans
29.12,41.13,11.21,32.26,52.09,6.91,64.82,mothbeans
36.75,61.6,57.74,35.52,94.87,6.5,159.86,papaya
31.78,76.21,80.0,18.97,14.36,7.36,92.38,chickpea
94.16,27.85,49.65,22.28,87.79,6.34,35.31,watermelon
30.39,33.68,22.86,34.54,47.6,5.31,91.56,mango
9.85,18.11,28.4,27.96,52.71,5.71,95.21,mango
93.16,37.79,20.22,23.83,46.67,6.18,71.36,maize
82.65,85.23,36.36,25.4,82.5,5.61,132.11,banana
54.13,39.38,29.87,25.94,77.46,5.49,288.63,rice
10.79,16.61,13.52,30.87,57.14,6.69,49.73,mothbeans
22.69,124.82,194.62,19.05,75.84,6.5,91.99,apple
24.01,76.17,31.59,16.92,14.37,5.53,110.21,kidneybeans
24.42,61.56,19.08,24.44,58.91,6.98,60.3,lentil
33.29,78.92,77.5,19.87,17.3,7.25,92.16,chickpea
21.58,68.11,33.6,21.21,21.95,6.08,84.35,kidneybeans
98.56,58.86,20.97,23.39,82.59,6.99,91.51,cotton
33.05,57.67,34.54,30.1,52.42,5.92,142.54,pigeonpeas
55.99,70.61,77.05,21.09,14.33,7.77,85.54,chickpea
38.67,55.25,91.07,18.64,5.14,7.64,71.97,chickpea
89.93,8.23,38.96,29.3,90.89,5.73,28.82,muskmelon
16.44,129.77,202.82,23.54,84.17,6.71,62.38,grapes
26.85,68.98,23.16,22.72,68.6,6.8,50.56,lentil
13.96,152.33,193.07,25.08,96.22,6.03,98.59,apple
19.54,55.75,21.69,28.63,79.54,6.79,58.35,mungbean
26.0,60.84,10.96,25.2,58.06,5.53,160.75,pigeonpeas
62.31,71.38,85.01,13.6,13.29,6.98,70.69,chickpea
139.6,57.53,17.55,24.69,72.09,7.1,84.12,cotton
12.97,71.78,73.46,13.51,18.56,7.85,77.94,chickpea
2.96,72.68,21.72,29.03,79.41,4.76,201.74,pigeonpeas
20.59,117.16,212.78,23.82,81.03,6.36,76.33,grapes
7.41,133.72,188.85,21.17,90.14,6.01,100.94,apple
27.9,64.24,17.44,18.46,16.82,6.54,72.85,kidneybeans
42.49,61.73,21.0,33.55,68.05,6.95,61.0,blackgram
48.95,48.68,12.76,23.58,62.8,7.08,69.6,blackgram
20.85,77.64,13.23,29.17,49.6,5.93,188.17,pigeonpeas
89.78,27.26,27.2,25.34,52.01,6.29,148.97,coffee
12.71,77.71,12.16,19.15,68.05,6.57,48.21,lentil
126.02,42.48,12.03,25.05,81.21,7.74,70.63,cotton
23.05,24.9,15.52,21.62,95.21,6.85,91.54,orange
0.0,21.77,44.92,29.26,90.79,6.73,103.09,pomegranate
17.71,12.28,17.12,25.51,92.54,6.49,85.48,orange
13.26,117.33,208.26,22.96,93.99,5.75,106.41,apple
21.43,57.29,24.82,25.45,72.88,6.93,65.3,mothbeans
108.83,25.21,35.63,22.07,58.58,7.12,72.64,coffee
17.14,91.38,22.41,22.84,47.36,7.46,31.55,lentil
98.2,41.42,38.55,24.57,64.54,6.15,87.67,maize
81.58,26.66,15.19,24.28,50.26,6.52,84.61,maize
3.39,8.48,53.09,19.89,86.64,5.9,95.9,pomegranate
114.18,21.03,44.59,22.07,89.52,6.28,22.5,muskmelon
87.12,39.75,26.54,28.56,67.46,6.31,58.76,maize
21.6,49.73,14.84,23.02,87.52,5.87,44.83,mungbean
99.41,39.25,41.25,23.43,78.43,6.68,155.43,jute
89.19,29.47,15.01,30.66,61.47,6.41,102.4,maize
13.03,72.25,23.59,23.52,57.66,6.94,29.35,lentil
38.93,69.48,64.29,15.62,10.03,7.36,105.99,chickpea
12.12,37.07,16.61,23.9,80.13,6.98,34.93,mungbean
16.63,14.71,43.72,27.99,90.76,5.49,160.02,coconut
20.69,24.36,64.29,27.23,90.06,5.67,190.64,coconut
121.12,70.72,19.75,23.36,85.2,6.76,81.28,cotton
21.69,77.0,16.06,12.37,24.1,5.45,81.21,kidneybeans
37.74,68.67,89.14,16.59,23.46,7.19,79.68,chickpea
29.02,45.86,14.02,30.97,51.26,7.06,44.27,mothbeans
95.62,9.05,61.4,24.55,66.31,6.3,174.91,coffee
55.89,52.58,11.0,25.71,64.46,7.27,78.36,blackgram
96.31,48.04,18.54,29.03,85.57,6.65,85.59,cotton
61.23,54.44,19.34,27.47,65.74,6.53,96.4,maize
13.33,52.64,7.66,26.1,57.77,6.48,47.17,mothbeans
12.85,72.98,5.01,25.94,56.21,7.4,46.61,lentil
20.06,58.4,25.59,19.26,23.46,5.49,61.93,kidneybeans
87.34,64.56,51.57,27.84,87.45,5.49,123.09,banana
115.41,11.82,53.62,23.47,85.91,6.86,35.28,watermelon
27.53,138.44,201.46,25.57,78.0,5.88,72.88,grapes
21.41,52.5,17.88,24.1,67.15,6.45,56.97,lentil
55.29,64.19,11.93,22.74,53.22,6.55,87.3,blackgram
86.06,63.86,41.75,25.77,81.63,5.24,228.94,rice
4.28,29.63,34.96,18.57,81.17,7.1,81.21,pomegranate
31.51,28.65,30.13,35.91,38.55,5.29,62.68,mango
8.07,12.81,34.22,25.35,95.76,5.79,204.0,coconut
122.22,39.57,22.09,23.01,85.28,7.03,75.27,cotton
6.49,40.29,4.2,30.25,36.48,6.81,25.07,mothbeans
15.47,53.32,21.68,25.05,84.97,7.01,46.12,mungbean
24.9,55.21,8.95,18.61,47.21,6.69,41.99,lentil
26.99,112.58,198.45,20.53,80.99,6.39,74.58,grapes
21.18,56.19,14.3,31.75,59.49,5.68,151.38,pigeonpeas
86.27,83.26,44.97,30.54,86.56,6.35,106.12,banana
82.05,36.35,21.48,17.61,55.23,6.9,71.86,maize
136.79,101.84,50.12,28.16,86.8,5.94,86.87,banana
87.48,15.12,56.88,29.64,88.47,6.06,30.26,muskmelon
30.08,152.51,193.06,23.7,80.64,5.22,65.34,grapes
8.59,65.69,26.9,18.92,71.56,7.23,54.54,lentil
95.35,12.4,58.72,26.53,84.06,7.06,47.45,watermelon
94.37,88.99,31.25,30.54,85.26,6.04,95.46,banana
2.01,118.75,194.19,21.99,91.27,5.85,120.16,apple
14.95,32.99,33.86,28.57,61.35,5.92,109.6,mango
22.7,53.91,20.03,29.86,66.11,6.99,53.74,mothbeans
101.76,84.36,40.61,25.85,78.97,6.64,58.39,banana
18.04,1.15,12.43,18.68,92.51,6.78,88.45,orange
20.08,15.85,9.41,21.67,91.42,7.35,122.18,orange
18.97,128.66,192.23,24.82,92.38,5.83,97.05,apple
81.88,40.02,39.19,25.92,84.54,6.83,165.5,jute
16.91,28.82,19.64,32.31,43.9,5.74,112.56,mango
71.6,52.47,46.1,24.94,82.59,6.84,206.34,rice
10.05,138.3,197.34,25.67,91.32,5.14,59.51,grapes
38.32,60.28,60.21,21.24,10.64,7.4,111.11,chickpea
55.9,66.63,45.44,34.51,90.36,6.99,146.24,papaya
106.32,19.18,33.57,23.84,62.23,6.03,92.98,maize
107.84,11.77,39.81,25.56,89.72,6.26,42.32,muskmelon
57.71,66.21,50.77,35.67,100.0,7.38,128.94,papaya
76.64,44.89,62.35,26.62,92.4,6.5,172.88,jute
58.9,30.77,9.19,19.1,71.43,5.83,137.65,maize
9.29,121.14,191.49,19.81,89.59,6.0,129.31,apple
31.09,61.98,0.0,25.55,47.49,5.29,134.54,pigeonpeas
123.65,25.54,25.62,24.84,63.09,6.94,216.2,coffee
4.88,125.79,204.48,23.37,98.76,6.38,106.29,apple
17.84,0.0,34.45,26.92,98.04,6.05,138.03,coconut
15.45,57.03,20.33,25.3,61.85,7.12,48.06,lentil
18.28,38.43,31.5,33.14,58.25,5.96,75.59,mango
79.59,8.12,67.13,28.14,90.79,5.92,28.58,muskmelon
97.94,55.82,45.57,26.23,76.92,7.44,176.08,jute
145.24,67.48,15.31,18.0,67.41,7.43,79.29,cotton
19.35,25.13,11.47,23.76,83.64,7.15,95.3,orange
16.7,20.96,37.3,14.83,97.97,6.44,135.62,pomegranate
45.65,81.36,18.23,29.21,66.54,8.06,38.61,blackgram
70.24,40.13,34.08,22.41,82.24,5.78,240.82,rice
29.45,38.73,20.36,28.15,48.99,6.11,53.88,mothbeans
70.02,11.36,54.96,29.93,88.61,6.28,20.22,muskmelon
89.8,18.48,74.02,22.41,95.2,7.3,48.83,watermelon
9.88,69.81,13.02,23.38,56.75,7.23,36.63,lentil
21.42,69.0,21.05,26.69,38.44,6.53,204.22,pigeonpeas
28.76,131.3,197.13,25.31,78.29,5.86,71.82,grapes
27.04,34.23,31.01,28.94,58.5,7.53,36.66,mothbeans
15.24,20.27,51.56,18.57,84.96,6.5,71.14,pomegranate
53.05,48.62,48.62,21.76,82.25,7.23,222.2,jute
93.51,20.14,40.74,21.37,91.21,6.79,50.79,watermelon
87.67,22.83,27.8,27.16,54.74,6.47,141.21,coffee
47.05,51.71,49.88,25.89,76.8,6.25,187.36,jute
13.32,133.37,194.57,19.91,91.63,6.04,83.27,apple
62.91,64.01,58.04,24.53,78.15,6.94,188.77,jute
28.9,7.05,14.11,27.04,91.99,6.67,112.46,orange
21.15,8.66,21.66,28.96,43.63,5.88,91.79,mango
21.48,85.24,20.05,17.43,19.21,5.63,132.46,kidneybeans
95.53,11.46,49.32,20.78,84.62,7.1,42.67,watermelon
17.6,84.04,33.01,35.88,46.73,5.95,104.5,pigeonpeas
104.92,42.33,0.0,25.2,76.14,7.34,85.85,cotton
10.69,16.06,4.59,16.22,95.64,7.23,119.34,orange
124.98,14.86,63.23,25.53,79.88,7.24,61.89,watermelon
107.58,14.06,46.1,33.91,96.7,6.1,29.57,muskmelon
123.47,59.15,15.44,25.21,79.58,7.07,70.18,cotton
29.12,80.81,11.88,15.57,14.71,5.61,114.33,kidneybeans
29.84,65.62,84.29,21.08,16.88,7.15,67.59,chickpea
34.9,66.49,26.17,36.15,71.62,7.56,60.92,blackgram
0.0,78.59,26.08,18.77,60.14,7.53,59.48,lentil
78.82,49.31,18.39,24.16,85.02,6.53,156.57,jute
12.74,25.83,42.47,20.96,94.39,6.59,135.93,pomegranate
113.65,22.12,53.56,26.02,91.0,6.37,29.4,muskmelon
21.09,17.05,26.89,26.66,89.24,6.04,191.19,coconut
111.4,73.6,63.72,27.43,76.64,6.27,117.86,banana
91.49,31.41,70.22,33.49,91.04,5.69,6.26,muskmelon
109.32,91.48,46.94,23.29,86.37,5.96,134.61,banana
61.61,25.36,21.8,27.19,76.47,6.07,106.57,maize
32.0,65.75,28.21,31.93,69.78,6.92,52.22,lentil
22.9,129.6,204.89,20.46,81.85,6.16,70.5,grapes
115.19,21.12,28.01,22.03,56.32,7.07,153.36,coffee
34.91,64.74,62.31,16.92,13.95,7.09,82.29,chickpea
29.33,50.31,2.57,26.41,82.19,6.89,21.75,mungbean
2.33,62.69,21.09,23.84,63.84,6.92,55.23,lentil
27.09,63.57,28.77,22.43,77.28,7.55,61.56,blackgram
107.28,73.51,53.06,24.81,75.51,5.75,92.49,banana
115.9,54.23,41.89,24.64,78.76,7.17,162.74,jute
27.13,15.87,23.43,33.98,43.91,5.68,126.52,mango
17.45,37.19,17.92,32.8,59.42,7.23,33.01,mothbeans
23.04,39.44,18.96,33.01,45.46,7.61,46.14,mothbeans
108.56,24.96,62.21,31.04,86.22,6.61,31.72,watermelon
28.47,67.68,13.41,27.45,75.6,7.43,70.21,blackgram
31.26,13.52,13.93,24.53,90.58,7.53,51.83,orange
112.3,13.26,42.02,28.06,78.55,6.38,53.94,watermelon
10.29,140.97,188.28,16.54,100.0,5.34,115.68,apple
16.73,117.76,175.22,18.88,97.56,5.74,108.61,apple
84.06,31.13,36.68,19.62,49.03,7.16,171.9,coffee
26.02,77.03,21.44,31.51,64.18,6.76,78.51,blackgram
75.85,23.03,39.18,23.98,92.33,5.94,31.61,watermelon
98.91,43.02,24.95,25.25,77.69,6.98,81.61,cotton
92.8,47.59,22.25,23.42,62.5,5.92,79.39,maize
35.19,90.39,19.68,24.79,63.93,7.31,91.43,blackgram
18.37,134.95,199.35,24.28,79.25,5.8,74.31,grapes
32.08,61.92,61.06,19.64,16.01,6.97,89.89,chickpea
22.39,147.38,193.42,22.22,84.39,5.77,72.29,grapes
32.73,16.74,31.35,24.11,93.07,5.8,154.27,coconut
105.4,93.87,40.35,25.76,76.38,6.13,92.82,banana
12.79,35.36,28.64,30.83,87.44,7.13,39.21,mungbean
38.79,37.84,16.67,27.81,56.17,6.93,65.41,mothbeans
124.94,36.88,22.08,22.13,78.34,7.31,93.63,cotton
23.18,83.09,18.26,15.46,17.74,5.26,89.3,kidneybeans
127.58,46.51,21.36,18.34,77.76,6.63,70.11,cotton
102.15,8.39,53.37,23.63,90.23,6.81,44.05,watermelon
20.84,16.27,40.89,26.77,94.05,5.66,185.77,coconut
28.81,138.94,215.84,21.63,85.46,5.89,87.86,grapes
12.77,139.34,204.33,21.04,100.0,6.52,130.66,apple
43.64,54.76,44.97,35.62,90.46,5.98,140.79,papaya
88.82,47.81,33.77,24.38,79.53,5.91,263.98,rice
119.43,15.7,61.95,23.56,86.34,6.58,49.46,watermelon
95.65,31.62,30.54,27.29,45.85,7.46,163.13,coffee
